number,product,strength,file
1,TIRZEPATIDE/PYRIDOXINE (B6),10MG/2MG/ML,001-tirzepatide-pyridoxine-b6.png
2,SEMAGLUTIDE/PYRIDOXINE (B6),2.5MG/2MG/ML,002-semaglutide-pyridoxine-b6.png
3,RETATRUTIDE,16MG/ML,003-retatrutide.png
4,TIRZEPATIDE/CYANOCOBALAMIN (B12),15MG/1MG/0.5ML,004-tirzepatide-cyanocobalamin-b12.png
5,NICOTINAMIDE ADENINE DINUCLEOTIDE (NAD+),200MG/ML,005-nicotinamide-adenine-dinucleotide-nad.png
6,SERMORELIN ACETATE,2MG/ML,006-sermorelin-acetate.png
7,SEMAGLUTIDE/CYANOCOBALAMIN (B12),2.5MG/1.25MG/ML,007-semaglutide-cyanocobalamin-b12.png
8,GLUTATHIONE,200MG/ML,008-glutathione.png
9,TIRZEPATIDE/L-CARNITINE,12.5MG/100MG/ML,009-tirzepatide-l-carnitine.png
10,BPC-157,3MG/ML,010-bpc-157.png
11,BPC-157/TB-500 (WOLVERINE),1.66MG/3.33MG/ML,011-bpc-157-tb-500-wolverine.png
12,CJC-1295/IPAMORELIN,1.5MG/2.5MG/ML,012-cjc-1295-ipamorelin.png
13,TB-500,10MG/3ML,013-tb-500.png
14,GHK-CU (COPPER PEPTIDE),10MG/ML,014-ghk-cu-copper-peptide.png
15,TIRZEPATIDE/NAD+/L-CARNITINE,15MG/40MG/250MG/ML,015-tirzepatide-nad-l-carnitine.png
16,TIRZEPATIDE (SIC),10MG/ML,016-tirzepatide-sic.png
17,ASCORBIC ACID (TAPIOCA BASE) VITAMIN C,500MG/ML,017-ascorbic-acid-tapioca-base-vitamin-c.png
18,ASCORBIC ACID (VITAMIN C),[5500MG] 550MG/ML,018-ascorbic-acid-vitamin-c.png
19,SEMAGLUTIDE/GLYCINE,2.5MG/7.5MG/ML,019-semaglutide-glycine.png
20,TESTOSTERONE CYPIONATE (COMMERCIAL),200MG/ML,020-testosterone-cypionate-commercial.png
21,GHK-CU/BPC-157/TB-500 (GLOW),9MG/1.66MG/3.33MG/ML,021-ghk-cu-bpc-157-tb-500-glow.png
22,N-ACETYL-L-CYSTEINE,200MG/ML,022-n-acetyl-l-cysteine.png
23,SEMAGLUTIDE/NAD+,1MG/20MG/ML,023-semaglutide-nad.png
24,SERMORELIN,3MG/ML,024-sermorelin.png
25,TESAMORELIN/IPAMORELIN,2.4MG/1.2MG/ML,025-tesamorelin-ipamorelin.png
26,TESTOSTERONE CYPIONATE IN SESAME SEED OIL,200MG,026-testosterone-cypionate-in-sesame-seed-oil.png
